	cdate	content	ddate	forum	id	invitation	nonreaders	number	original	readers	replyto	signatures	tcdate	tddate	tmdate	writers
0	1549254805733	"{'title': 'Not actually a problem with this paper / version of the system', 'comment': ""This is not a question about the version of the parser model or its results presented in the ICLR 2017 paper, but rather about the second version of the parser run on the CoNLL 2017 UD shared task data in a second CoNLL paper.\n\nNevertheless, we stand by those results and they should be reproducible. However, the code has been edited quite a bit since the shared task, so there certainly could be a problem. I see you've also opened an issue on the Parser-v2 GitHub https://github.com/tdozat/Parser-v2/issues – which seems a better place for this….""}"		Hk95PK9le	rJeA5xrSVN	ICLR.cc/2017/conference/-/paper504/public/comment	['']	12		['everyone']	S1gMiPAK74	['~Christopher_D._Manning1']	1549254805733		1549254805733	['~Christopher_D._Manning1']
1	1538087859915	{'title': 'Beyond Pixel Norm-Balls: Parametric Adversaries using an Analytically Differentiable Renderer', 'abstract': 'Many machine learning image classifiers are vulnerable to adversarial attacks, inputs with perturbations designed to intentionally trigger misclassification. Current adversarial methods directly alter pixel colors and evaluate against pixel norm-balls: pixel perturbations smaller than a specified magnitude, according to a measurement norm. This evaluation, however, has limited practical utility since perturbations in the pixel space do not correspond to underlying real-world phenomena of image formation that lead to them and has no security motivation attached. Pixels in natural images are measurements of light that has interacted with the geometry of a physical scene. As such, we propose a novel evaluation measure, parametric norm-balls, by directly perturbing physical parameters that underly image formation. One enabling contribution we present is a physically-based differentiable renderer that allows us to propagate pixel gradients to the parametric space of lighting and geometry. Our approach enables physically-based adversarial attacks, and our differentiable renderer leverages models from the interactive rendering literature to balance the performance and accuracy trade-offs necessary for a memory-efficient and scalable adversarial data augmentation workflow.', 'keywords': ['adversarial examples', 'norm-balls', 'differentiable renderer'], 'authorids': ['hsuehtil@cs.toronto.edu', 'mtao@dgp.toronto.edu', 'chunlial@cs.cmu.edu', 'derek@cim.mcgill.ca', 'jacobson@cs.toronto.edu'], 'authors': ['Hsueh-Ti Derek Liu', 'Michael Tao', 'Chun-Liang Li', 'Derek Nowrouzezahrai', 'Alec Jacobson'], 'TL;DR': 'Enabled by a novel differentiable renderer, we propose a new metric that has real-world implications for evaluating adversarial machine learning algorithms, resolving the lack of realism of the existing metric based on pixel norms.', 'pdf': '/pdf/028ad7abd781d3e1afab67b9fbbb6f6b8645839f.pdf', 'paperhash': 'liu|beyond_pixel_normballs_parametric_adversaries_using_an_analytically_differentiable_renderer', '_bibtex': '@inproceedings{\nliu2018beyond,\ntitle={Beyond Pixel Norm-Balls: Parametric Adversaries using an Analytically Differentiable Renderer},\nauthor={Hsueh-Ti Derek Liu and Michael Tao and Chun-Liang Li and Derek Nowrouzezahrai and Alec Jacobson},\nbooktitle={International Conference on Learning Representations},\nyear={2019},\nurl={https://openreview.net/forum?id=SJl2niR9KQ},\n}'}		SJl2niR9KQ	SJl2niR9KQ	ICLR.cc/2019/Conference/-/Blind_Submission	[]	747	HJxED7A_YQ	['everyone']		['ICLR.cc/2019/Conference']	1538087859915		1549252335192	['ICLR.cc/2019/Conference']
2	1538087910988	{'title': 'Multilingual Neural Machine Translation With Soft Decoupled Encoding', 'abstract': 'Multilingual training of neural machine translation (NMT) systems has led to impressive accuracy improvements on low-resource languages. However, there are still significant challenges in efficiently learning word representations in the face of paucity of data. In this paper, we propose Soft Decoupled Encoding (SDE), a multilingual lexicon encoding framework specifically designed to share lexical-level information intelligently without requiring heuristic preprocessing such as pre-segmenting the data. SDE represents a word by its spelling through a character encoding, and its semantic meaning through a latent embedding space shared by all languages. Experiments on a standard dataset of four low-resource languages show consistent improvements over strong multilingual NMT baselines, with gains of up to 2 BLEU on one of the tested languages, achieving the new state-of-the-art on all four language pairs.', 'keywords': [], 'authorids': ['xinyiw1@cs.cmu.edu', 'hyhieu@cmu.edu', 'philip.arthur@monash.edu', 'gneubig@cs.cmu.edu'], 'authors': ['Xinyi Wang', 'Hieu Pham', 'Philip Arthur', 'Graham Neubig'], 'pdf': '/pdf/a7857a717123556b06daa1fda9af54d225750628.pdf', 'paperhash': 'wang|multilingual_neural_machine_translation_with_soft_decoupled_encoding', '_bibtex': '@inproceedings{\nwang2018multilingual,\ntitle={Multilingual Neural Machine Translation With Soft Decoupled Encoding},\nauthor={Xinyi Wang and Hieu Pham and Philip Arthur and Graham Neubig},\nbooktitle={International Conference on Learning Representations},\nyear={2019},\nurl={https://openreview.net/forum?id=Skeke3C5Fm},\n}'}		Skeke3C5Fm	Skeke3C5Fm	ICLR.cc/2019/Conference/-/Blind_Submission	[]	1038	SylQnch5Ym	['everyone']		['ICLR.cc/2019/Conference']	1538087910988		1549244925631	['ICLR.cc/2019/Conference']
3	1542459596750	{'title': 'Alexandria: Unsupervised High-Precision Knowledge Base Construction using a Probabilistic Program', 'authors': ['Anonymous'], 'authorids': ['AKBC.ws/2019/Conference/Paper9/Authors'], 'keywords': ['Fact retrieval', 'Entity extraction', 'Schema learning', 'Unsupervised knowledge base construction', 'Probabilistic programming'], 'TL;DR': 'This paper presents a system for unsupervised, high-precision knowledge base construction using a probabilistic program to define a process of converting knowledge base facts into unstructured text.', 'abstract': 'Creating a knowledge base that is accurate, up-to-date and complete remains a significant challenge despite substantial efforts in automated knowledge base construction.  In this paper, we present Alexandria -- a system for unsupervised, high-precision knowledge base construction. Alexandria uses a probabilistic program to define a process of converting knowledge base facts into unstructured text.  Using probabilistic inference, we can invert this program and so retrieve facts, schemas and entities from web text. The use of a probabilistic program allows uncertainty in the text to be propagated through to the retrieved facts, which increases accuracy and helps merge facts from multiple sources. Because Alexandria does not require labelled training data, knowledge bases can be constructed with the minimum of manual input. We demonstrate this by constructing a high precision (typically 97\\%+) knowledge base for people from a single seed fact.', 'archival status': 'Archival', 'subject areas': ['Machine Learning', 'Information Extraction', 'Knowledge Representation'], 'pdf': '/pdf/2f03323538f8515adcff0b714db5556f2272eb96.pdf', 'paperhash': 'anonymous|alexandria_unsupervised_highprecision_knowledge_base_construction_using_a_probabilistic_program', '_bibtex': '@inproceedings{    \nanonymous2019alexandria:,    \ntitle={Alexandria: Unsupervised High-Precision Knowledge Base Construction using a Probabilistic Program},    \nauthor={Anonymous},    \nbooktitle={Submitted to Automated Knowledge Base Construction},    \nyear={2019},    \nurl={https://openreview.net/forum?id=rJgHCgc6pX},    \nnote={under review}    \n}'}		rJgHCgc6pX	rJgHCgc6pX	AKBC.ws/2019/Conference/-/Blind_Submission	[]	9	S1gvwOQipm	['everyone']		['AKBC.ws/2019/Conference']	1542459596750		1549224189255	['AKBC.ws/2019/Conference']
4	1549223983331	"{'comment': ""The authors report their results on SHAPES dataset. In visual reasoning, however, the CLEVR dataset is a much more acceptable benchmark. Is there any specific reason that the authors don't use CLEVR dataset in spite of referring to all the papers in NMN series (Johnson et al., 2017; Hu et al., 2017; Andreas et al., 2016a) ?"", 'title': 'Results on other datasets'}"		ryxhB3CcK7	rkgwNdTVV4	ICLR.cc/2019/Conference/-/Paper1578/Public_Comment	[]	2		['everyone']	ryxhB3CcK7	['(anonymous)']	1549223983331		1549223983331	['(anonymous)', 'ICLR.cc/2019/Conference']
5	1538087875382	{'title': 'Learning Two-layer Neural Networks with Symmetric Inputs', 'abstract': 'We give a new algorithm for learning a two-layer neural network under a very general class of input distributions. Assuming there is a ground-truth two-layer network \ny = A \\sigma(Wx) + \\xi,\nwhere A, W are weight matrices, \\xi represents noise, and the number of neurons in the hidden layer is no larger than the input or output,  our algorithm is guaranteed to recover the parameters A, W of the ground-truth network. The only requirement on the input x is that it is symmetric, which still allows highly complicated and structured input. \n\nOur algorithm is based on the method-of-moments framework and extends several results in tensor decompositions. We use spectral algorithms to avoid the complicated non-convex optimization in learning neural networks. Experiments show that our algorithm can robustly learn the ground-truth neural network with a small number of samples for many symmetric input distributions.', 'keywords': ['Neural Network', 'Optimization', 'Symmetric Inputs', 'Moment-of-moments'], 'authorids': ['rongge@cs.duke.edu', 'rohith.kuditipudi@duke.edu', 'zz-li14@mails.tsinghua.edu.cn', 'xwang@cs.duke.edu'], 'authors': ['Rong Ge', 'Rohith Kuditipudi', 'Zhize Li', 'Xiang Wang'], 'TL;DR': 'We give an algorithm for learning a two-layer neural network with symmetric input distribution. ', 'pdf': '/pdf/7703f21920f66ed4ddc8ef06a0db55ef29eafe71.pdf', 'paperhash': 'ge|learning_twolayer_neural_networks_with_symmetric_inputs', '_bibtex': '@inproceedings{\nge2018learning,\ntitle={Learning Two-layer Neural Networks with Symmetric Inputs},\nauthor={Rong Ge and Rohith Kuditipudi and Zhize Li and Xiang Wang},\nbooktitle={International Conference on Learning Representations},\nyear={2019},\nurl={https://openreview.net/forum?id=H1xipsA5K7},\n}'}		H1xipsA5K7	H1xipsA5K7	ICLR.cc/2019/Conference/-/Blind_Submission	[]	836	S1xCQxO5Y7	['everyone']		['ICLR.cc/2019/Conference']	1538087875382		1549222340767	['ICLR.cc/2019/Conference']
6	1538087806789	{'title': 'Improving Generalization and Stability of Generative Adversarial Networks', 'abstract': 'Generative Adversarial Networks (GANs) are one of the most popular tools for learning complex high dimensional distributions. However, generalization properties of GANs have not been well understood. In this paper, we analyze the generalization of GANs in practical settings. We show that discriminators trained on discrete datasets with the original GAN loss have poor generalization capability and do not approximate the theoretically optimal discriminator. We propose a zero-centered gradient penalty for improving the generalization of the discriminator by pushing it toward the optimal discriminator. The penalty guarantees the generalization and convergence of GANs. Experiments on synthetic and large scale datasets verify our theoretical analysis.\n', 'keywords': ['GAN', 'generalization', 'gradient penalty', 'zero centered', 'convergence'], 'authorids': ['hoangtha@deakin.edu.au', 'truyen.tran@deakin.edu.au', 'svetha.venkatesh@deakin.edu.au'], 'authors': ['Hoang Thanh-Tung', 'Truyen Tran', 'Svetha Venkatesh'], 'TL;DR': 'We propose a zero-centered gradient penalty for improving generalization and stability of GANs', 'pdf': '/pdf/fd91f4aac209f4a0d0daa303323ec61989998a1c.pdf', 'paperhash': 'thanhtung|improving_generalization_and_stability_of_generative_adversarial_networks', '_bibtex': '@inproceedings{\nthanh-tung2018improving,\ntitle={Improving Generalization and Stability of Generative Adversarial Networks},\nauthor={Hoang Thanh-Tung and Truyen Tran and Svetha Venkatesh},\nbooktitle={International Conference on Learning Representations},\nyear={2019},\nurl={https://openreview.net/forum?id=ByxPYjC5KQ},\n}'}		ByxPYjC5KQ	ByxPYjC5KQ	ICLR.cc/2019/Conference/-/Blind_Submission	[]	452	rJeJwltqY7	['everyone']		['ICLR.cc/2019/Conference']	1538087806789		1549214409018	['ICLR.cc/2019/Conference']
7	1549212951166	{'comment': 'Enjoyed reading this paper. Even implemented it for my own GAN use case (on a different dataset than the ones used in this paper) and confirm it works well! \n\nP.S. There is an earlier related work on Variational Rejection Sampling [1], which uses rejection sampling for improving samples from the variational posterior in variational autoencoder models, using ideas similar to this paper. The difference with this work is that rejection sampling is performed in the latent space, whereas this paper focusses on the observed space. So depending on your application, it might be beneficial to use either approach!\n\n[1] Variational Rejection Sampling \nAditya Grover, Ramki Gummadi, Miguel Lazaro-Gredilla, Dale Schuurmans, Stefano Ermon\nAISTATS 2018\nhttps://arxiv.org/abs/1804.01712\n', 'title': 'Nice and effective trick!'}		S1GkToR5tm	SJekX6cVV4	ICLR.cc/2019/Conference/-/Paper767/Public_Comment	[]	1		['everyone']	S1GkToR5tm	['(anonymous)']	1549212951166		1549212967263	['(anonymous)', 'ICLR.cc/2019/Conference']
8	1538087843464	{'title': 'MARGINALIZED AVERAGE ATTENTIONAL NETWORK FOR WEAKLY-SUPERVISED LEARNING', 'abstract': 'In weakly-supervised temporal action localization, previous works have failed to locate dense and integral regions for each entire action due to the overestimation of the most salient regions. To alleviate this issue, we propose a marginalized average attentional network (MAAN) to suppress the dominant response of the most salient regions in a principled manner. The MAAN employs a novel marginalized average aggregation (MAA) module and learns a set of latent discriminative probabilities in an end-to-end fashion.  MAA samples multiple subsets from the video snippet features according to a set of latent discriminative probabilities and takes the expectation over all the averaged subset features. Theoretically, we prove that the MAA module with learned latent discriminative probabilities successfully reduces the difference in responses between the most salient regions and the others. Therefore, MAAN is able to generate better class activation sequences and identify dense and integral action regions in the videos. Moreover, we propose a fast algorithm to reduce the complexity of constructing MAA from $O(2^T)$ to $O(T^2)$. Extensive experiments on two large-scale video datasets show that our MAAN achieves a superior performance on weakly-supervised temporal action localization.\n\n\n', 'keywords': ['feature aggregation', 'weakly supervised learning', 'temporal action localization'], 'authorids': ['yuanyuan910115@gmail.com', 'lv_yueming@outlook.com', 'shenxiluc@gmail.com', 'ivor.tsang@uts.edu.au', 'dyyeung@cse.ust.hk'], 'authors': ['Yuan Yuan', 'Yueming Lyu', 'Xi Shen', 'Ivor W. Tsang', 'Dit-Yan Yeung'], 'TL;DR': 'A novel marginalized average attentional network for weakly-supervised temporal action localization ', 'pdf': '/pdf/fb8563ef446a715415ffd76e8e79b128f9d6c1ac.pdf', 'paperhash': 'yuan|marginalized_average_attentional_network_for_weaklysupervised_learning', '_bibtex': '@inproceedings{\nyuan2018marginalized,\ntitle={{MARGINALIZED} {AVERAGE} {ATTENTIONAL} {NETWORK} {FOR} {WEAKLY}-{SUPERVISED} {LEARNING}},\nauthor={Yuan Yuan and Yueming Lyu and Xi Shen and Ivor W. Tsang and Dit-Yan Yeung},\nbooktitle={International Conference on Learning Representations},\nyear={2019},\nurl={https://openreview.net/forum?id=HkljioCcFQ},\n}'}		HkljioCcFQ	HkljioCcFQ	ICLR.cc/2019/Conference/-/Blind_Submission	[]	655	BkgqzBYctm	['everyone']		['ICLR.cc/2019/Conference']	1538087843464		1549198268626	['ICLR.cc/2019/Conference']
9	1549190570713	{'title': 'Justify high rating', 'comment': 'Dear reviewer,\n\nCould you please expand on why you believe this paper is among the top 15% of papers?\n\nThanks,\nAC'}		SkxE1b56TQ	BJlXhHSVVE	AKBC.ws/2019/Conference/-/Paper14/Official_Comment	['AKBC.ws/2019/Conference/Paper14/Reviewers/Unsubmitted']	8		['everyone']	B1lmldphM4	['AKBC.ws/2019/Conference/Paper14/Area_Chair1']	1549190570713		1549190570713	['AKBC.ws/2019/Conference/Paper14/Area_Chair1', 'AKBC.ws/2019/Conference']
